0.00 252.00 0.00 0.00 0.00 90.00 78.00 0.00 90.00 0.00
0.00 252.00 0.00 0.00 0.00 89.00 78.00 0.00 90.00 0.00
0.00 252.00 0.00 0.00 0.00 89.00 77.00 0.00 90.00 0.00
0.00 252.00 0.00 0.00 0.00 89.00 78.00 0.00 90.00 0.00
0.00 252.00 0.00 0.00 0.00 89.00 77.00 0.00 90.00 0.00
0.00 252.00 0.00 0.00 0.00 89.00 77.00 0.00 89.00 0.00
0.00 251.00 0.00 0.00 0.00 89.00 77.00 0.00 89.00 0.00
0.00 252.00 0.00 0.00 0.00 89.00 78.00 0.00 89.00 0.00
0.00 251.00 0.00 0.00 0.00 89.00 78.00 0.00 88.00 0.00
0.00 251.00 0.00 0.00 0.00 89.00 78.00 0.00 89.00 0.00
0.00 250.00 0.00 0.00 0.00 89.00 77.00 0.00 89.00 0.00
0.00 250.00 0.00 0.00 0.00 89.00 82.00 0.00 88.00 0.00
0.00 251.00 0.00 0.00 0.00 90.00 83.00 0.00 88.00 0.00
0.00 251.00 0.00 0.00 0.00 89.00 83.00 0.00 88.00 0.00
0.00 251.00 0.00 0.00 0.00 89.00 83.00 0.00 89.00 0.00
0.00 251.00 0.00 0.00 0.00 90.00 84.00 0.00 88.00 0.00
0.00 251.00 0.00 0.00 0.00 89.00 84.00 0.00 88.00 0.00
0.00 251.00 0.00 0.00 0.00 89.00 85.00 0.00 88.00 0.00
0.00 251.00 0.00 0.00 0.00 89.00 84.00 0.00 89.00 0.00
0.00 251.00 0.00 0.00 0.00 89.00 84.00 0.00 88.00 0.00
0.00 251.00 0.00 0.00 0.00 89.00 84.00 0.00 88.00 0.00
0.00 251.00 0.00 90.00 0.00 90.00 84.00 0.00 88.00 0.00
0.00 251.00 0.00 91.00 0.00 90.00 84.00 0.00 88.00 0.00
0.00 251.00 0.00 89.00 0.00 89.00 84.00 0.00 88.00 0.00
0.00 251.00 0.00 87.00 0.00 89.00 84.00 0.00 87.00 0.00
0.00 251.00 0.00 87.00 0.00 89.00 85.00 0.00 88.00 0.00
0.00 252.00 0.00 87.00 0.00 89.00 85.00 0.00 88.00 480.00
0.00 252.00 0.00 87.00 0.00 89.00 85.00 0.00 88.00 100.00
0.00 252.00 0.00 87.00 0.00 89.00 86.00 0.00 88.00 98.00
0.00 251.00 0.00 86.00 0.00 89.00 85.00 0.00 88.00 96.00
